Type,Time
Unknown,2022-08-27 18:31:21.445102
Unknown,2022-08-27 18:31:24.891451
Unknown,2022-08-27 18:31:27.155363
Unknown,2022-08-27 18:31:29.325166
Unknown,2022-08-27 18:31:31.501999
Unknown,2022-08-27 18:31:33.658243
Unknown,2022-08-27 18:31:35.798679
Unknown,2022-08-27 18:31:37.958007
Unknown,2022-08-27 18:31:40.249324
Unknown,2022-08-27 18:31:50.267274
Unknown,2022-08-27 18:31:53.744233
Unknown,2022-08-27 18:31:55.881167
Unknown,2022-08-27 18:31:58.073919
Unknown,2022-08-27 18:32:02.239566
Unknown,2022-08-27 18:32:04.372360
Unknown,2022-08-27 18:32:06.595618
Unknown,2022-08-27 18:32:08.825345
Unknown,2022-08-27 18:32:11.101057
Unknown,2022-08-27 18:32:13.950352
Unknown,2022-08-27 18:32:16.684440
Unknown,2022-08-27 18:32:18.806147
Unknown,2022-08-27 18:32:43.787452
Unknown,2022-08-27 18:32:46.032799
Unknown,2022-08-27 18:32:48.209280
Unknown,2022-08-27 18:32:51.017290
